,Unnamed: 0,ST_CASE,VE_FORMS,HOUR,MINUTE,LATITUDE,LONGITUDE,YEAR,STATE,COUNTY,FATALS,LAT,LON,CRASH_TIME,VAR8C,VAR9C,VAR10C,VAR11C,VAR12C,VAR15C,VAR22C,VAR23C,VAR24C,VAR25C,VAR28C,PED_PEDAL,YOUNG_OLD,SZ_STATE,SZ_STATE_CZ_COUNTY,VAR1,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR15,VAR16,VAR17,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,STANAME,CNTYNAME,LCSTANAME,GEOHASH
10,29248,540087,1,3:00am-3:59am,11,39.36648056,-78.04689722,2011,54,3,1,39.36648056,-78.04689722,3:11 AM,No,No,Yes,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekend,May,No,No,No,54,54003,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,5,3,1,2,WEST VIRGINIA,Berkeley County,West Virginia,dqbrzyry
11,29249,540088,1,6:00pm-6:59pm,0,39.36509444,-78.01563333,2011,54,3,1,39.36509444,-78.01563333,6:00 PM,No,Yes,Yes,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekday,May,No,No,No,54,54003,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,5,18,1,2,WEST VIRGINIA,Berkeley County,West Virginia,dqbxbwnw
12,29250,540161,1,3:00am-3:59am,6,39.38539722,-78.02945,2011,54,3,1,39.38539722,-78.02945,3:06 AM,No,Yes,Yes,Yes,No,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekend,July,Yes,No,No,54,54003,1,1,2,1,1,1,2,2,2,2,2,2,3,1,2,7,3,1,1,WEST VIRGINIA,Berkeley County,West Virginia,dr0803us
13,29251,540192,1,10:00pm-10:59pm,12,39.47555833,-77.95718056,2011,54,3,1,39.47555833,-77.95718056,10:12 PM,No,Yes,No,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekend,August,No,No,No,54,54003,1,1,2,1,2,1,2,2,2,2,2,2,1,1,2,8,22,1,2,WEST VIRGINIA,Berkeley County,West Virginia,dr08d433
14,29252,540259,1,3:00pm-3:59pm,2,39.45248889,-77.96305556,2011,54,3,1,39.45248889,-77.96305556,3:02 PM,No,No,No,Yes,No,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekday,September,No,No,No,54,54003,1,1,2,2,2,1,2,2,2,2,2,2,3,1,1,9,15,1,2,WEST VIRGINIA,Berkeley County,West Virginia,dr083yj5
15,29253,540265,2,3:00pm-3:59pm,5,39.33705,-78.052175,2011,54,3,1,39.33705,-78.052175,3:05 PM,No,No,No,No,Yes,Yes,Unknown,Other,Weekend,October,No,No,Older Driver,54,54003,1,2,2,2,2,2,1,1,2,2,2,1,3,6,2,10,15,2,2,WEST VIRGINIA,Berkeley County,West Virginia,dqbrzch4
16,29254,540279,2,3:00pm-3:59pm,20,39.44075,-77.97450278,2011,54,3,1,39.44075,-77.97450278,3:20 PM,No,No,No,No,No,No,Unknown,Angle,Weekday,November,No,No,No,54,54003,1,2,2,2,2,2,2,2,2,2,2,2,3,4,1,11,15,2,2,WEST VIRGINIA,Berkeley County,West Virginia,dr083eux
17,29255,540283,2,7:00pm-7:59pm,46,39.489,-77.9729,2011,54,3,1,39.489,-77.9729,7:46 PM,No,No,Yes,No,No,No,Unknown,Sideswipe,Weekend,November,Yes,No,No,54,54003,1,2,2,2,1,2,2,2,2,2,2,2,3,5,2,11,19,2,1,WEST VIRGINIA,Berkeley County,West Virginia,dr089svb
18,29256,540314,1,2:00am-2:59am,30,39.41315833,-78.05806111,2011,54,3,1,39.41315833,-78.05806111,2:30 AM,No,No,Yes,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekday,December,No,No,Young Driver,54,54003,1,1,2,2,1,1,2,2,2,2,1,2,2,1,1,12,2,1,2,WEST VIRGINIA,Berkeley County,West Virginia,dr02pwzy
19,29257,540009,2,9:00am-9:59am,30,38.14549167,-81.65493889,2011,54,5,1,38.14549167,-81.65493889,9:30 AM,Yes,No,No,Yes,No,No,Unknown,Head-On,Weekday,January,No,No,No,54,54005,1,2,1,2,2,1,2,2,2,2,2,2,3,3,1,1,9,2,2,WEST VIRGINIA,Boone County,West Virginia,dnvcjbht
20,29258,540132,1,7:00pm-7:59pm,13,38.07559444,-81.81647222,2011,54,5,1,38.07559444,-81.81647222,7:13 PM,No,Yes,No,Yes,No,Yes,Yes,Not Collision with Motor Vehicle in Transport,Weekend,June,No,No,No,54,54005,1,1,2,1,2,1,2,1,2,2,2,2,1,1,2,6,19,1,2,WEST VIRGINIA,Boone County,West Virginia,dnvbd5rn
21,29259,540220,2,12:00pm-12:59pm,15,38.03344722,-81.87372222,2011,54,5,1,38.03344722,-81.87372222,12:15 PM,Yes,No,Yes,No,Yes,No,Unknown,Angle,Weekday,September,No,No,No,54,54005,1,2,1,2,1,2,1,2,2,2,2,2,3,4,1,9,12,2,2,WEST VIRGINIA,Boone County,West Virginia,dnvb2gv2
22,29260,540302,1,6:00pm-6:59pm,18,38.012925,-81.81866389,2011,54,5,1,38.012925,-81.81866389,6:18 PM,No,Yes,Yes,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekday,November,No,No,No,54,54005,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,11,18,1,2,WEST VIRGINIA,Boone County,West Virginia,dnvb60j3
23,29261,540317,2,7:00pm-7:59pm,3,38.069975,-81.84468333,2011,54,5,1,38.069975,-81.84468333,7:03 PM,Yes,No,No,No,Yes,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekend,December,No,Pedestrian,Young Driver,54,54005,1,2,1,2,2,2,1,2,1,2,1,2,3,1,2,12,19,2,2,WEST VIRGINIA,Boone County,West Virginia,dnvb9d6t
24,29262,540162,1,10:00pm-10:59pm,30,38.71946944,-80.52334722,2011,54,7,1,38.71946944,-80.52334722,10:30 PM,No,No,Yes,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekday,July,No,No,No,54,54007,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,7,22,1,2,WEST VIRGINIA,Braxton County,West Virginia,dnysr8st
25,29263,540171,1,6:00pm-6:59pm,49,38.69780278,-80.66672778,2011,54,7,1,38.69780278,-80.66672778,6:49 PM,No,Yes,No,Yes,No,Yes,Yes,Not Collision with Motor Vehicle in Transport,Weekday,July,No,No,No,54,54007,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,7,18,1,2,WEST VIRGINIA,Braxton County,West Virginia,dnyshksr
26,29264,540179,2,4:00pm-4:59pm,43,38.72335278,-80.66707222,2011,54,7,1,38.72335278,-80.66707222,4:43 PM,Yes,Yes,No,Yes,No,No,Unknown,Angle,Weekday,July,Yes,No,Older Driver,54,54007,1,2,1,1,2,1,2,2,2,2,2,1,3,4,1,7,16,2,1,WEST VIRGINIA,Braxton County,West Virginia,dnysk3k5
27,29265,540218,1,9:00am-9:59am,30,38.72275278,-80.63882222,2011,54,7,1,38.72275278,-80.63882222,9:30 AM,No,Yes,Yes,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekend,September,No,No,No,54,54007,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,9,9,1,2,WEST VIRGINIA,Braxton County,West Virginia,dnysm128
28,29266,540010,1,4:00pm-4:59pm,10,40.22566389,-80.652975,2011,54,9,1,40.22566389,-80.652975,4:10 PM,No,Yes,No,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekday,January,No,No,No,54,54009,1,1,2,1,2,1,2,2,2,2,2,2,2,1,1,1,16,1,2,WEST VIRGINIA,Brooke County,West Virginia,dpnsudy7
29,29267,540022,1,7:00pm-7:59pm,45,40.39472222,-80.59207778,2011,54,9,1,40.39472222,-80.59207778,7:45 PM,No,No,No,No,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekday,February,No,Pedestrian,No,54,54009,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,19,1,2,WEST VIRGINIA,Brooke County,West Virginia,dpnty1ds
30,29268,540071,2,3:00pm-3:59pm,28,40.24337222,-80.64806111,2011,54,9,1,40.24337222,-80.64806111,3:28 PM,No,No,No,Yes,No,No,Unknown,Angle,Weekday,April,No,No,Young Driver,54,54009,1,2,2,2,2,1,2,2,2,2,1,2,3,4,1,4,15,2,2,WEST VIRGINIA,Brooke County,West Virginia,dpnsuy1f
31,29269,540321,2,12:00pm-12:59pm,55,40.34626667,-80.60611667,2011,54,9,1,40.34626667,-80.60611667,12:55 PM,Yes,No,No,Yes,No,No,Unknown,Head-On,Weekday,December,No,No,Older Driver,54,54009,1,2,1,2,2,1,2,2,2,2,2,1,3,3,1,12,12,2,2,WEST VIRGINIA,Brooke County,West Virginia,dpnttbb6
32,29270,540038,1,1:00am-1:59am,24,38.34589722,-82.20957778,2011,54,11,1,38.34589722,-82.20957778,1:24 AM,No,Yes,No,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekend,February,No,No,No,54,54011,1,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,WEST VIRGINIA,Cabell County,West Virginia,dnvd1k8v
33,29271,540044,2,9:00pm-9:59pm,19,38.41064167,-82.32730556,2011,54,11,1,38.41064167,-82.32730556,9:19 PM,No,Yes,No,No,Yes,No,Unknown,Rear-End,Weekday,March,No,No,Older Driver,54,54011,1,2,2,1,2,2,1,2,2,2,2,1,3,2,1,3,21,2,2,WEST VIRGINIA,Cabell County,West Virginia,dnv6w87n
34,29272,540070,3,6:00am-6:59am,20,38.51526667,-82.29824167,2011,54,11,1,38.51526667,-82.29824167,6:20 AM,No,No,No,Yes,No,No,Unknown,Angle,Weekday,April,No,No,No,54,54011,1,3,2,2,2,1,2,2,2,2,2,2,3,4,1,4,6,3,2,WEST VIRGINIA,Cabell County,West Virginia,dnv7p72p
35,29273,540109,5,3:00pm-3:59pm,46,38.41320556,-82.48464722,2011,54,11,1,38.41320556,-82.48464722,3:46 PM,No,No,No,No,No,No,Unknown,Angle,Weekday,May,No,No,Older Driver,54,54011,1,3,2,2,2,2,2,2,2,2,2,1,3,4,1,5,15,5,2,WEST VIRGINIA,Cabell County,West Virginia,dnv6e0bt
36,29274,540110,2,5:00pm-5:59pm,2,38.49306667,-82.10233333,2011,54,11,1,38.49306667,-82.10233333,5:02 PM,No,Yes,No,No,Yes,Yes,Unknown,Angle,Weekend,May,No,No,Older Driver,54,54011,1,2,2,1,2,2,1,1,2,2,2,1,3,4,2,5,17,2,2,WEST VIRGINIA,Cabell County,West Virginia,dnvdgxqy
37,29275,540168,1,3:00am-3:59am,17,38.41439167,-82.44599722,2011,54,11,1,38.41439167,-82.44599722,3:17 AM,No,Yes,No,Yes,No,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekday,July,No,No,No,54,54011,1,1,2,1,2,1,2,2,2,2,2,2,3,1,1,7,3,1,2,WEST VIRGINIA,Cabell County,West Virginia,dnv6echs
38,29276,540216,2,1:00pm-1:59pm,4,38.38325556,-82.45688056,2011,54,11,1,38.38325556,-82.45688056,1:04 PM,No,No,No,Yes,No,No,Unknown,Head-On,Weekday,September,No,No,Older Driver,54,54011,1,2,2,2,2,1,2,2,2,2,2,1,3,3,1,9,13,2,2,WEST VIRGINIA,Cabell County,West Virginia,dnv67ekw
39,29277,540272,2,11:00am-11:59am,10,38.49801667,-82.17386944,2011,54,11,1,38.49801667,-82.17386944,11:10 AM,No,Yes,No,Yes,No,No,Unknown,Head-On,Weekend,October,No,No,Older Driver,54,54011,1,2,2,1,2,1,2,2,2,2,2,1,3,3,2,10,11,2,2,WEST VIRGINIA,Cabell County,West Virginia,dnve406g
40,29278,540287,2,9:00pm-9:59pm,0,38.43081111,-82.37197778,2011,54,11,2,38.43081111,-82.37197778,9:00 PM,No,No,No,Yes,No,No,Yes,Head-On,Weekend,November,No,No,No,54,54011,1,2,2,2,2,1,2,2,2,2,2,2,1,3,2,11,21,2,2,WEST VIRGINIA,Cabell County,West Virginia,dnv6ts4e
41,29279,540295,2,3:00pm-3:59pm,51,38.41619444,-82.48626944,2011,54,11,1,38.41619444,-82.48626944,3:51 PM,No,No,No,Yes,No,No,Unknown,Head-On,Weekend,November,No,No,No,54,54011,1,2,2,2,2,1,2,2,2,2,2,2,3,3,2,11,15,2,2,WEST VIRGINIA,Cabell County,West Virginia,dnv6dcrq
42,29280,540316,2,10:00am-10:59am,30,38.36348889,-82.32120278,2011,54,11,1,38.36348889,-82.32120278,10:30 AM,No,No,No,Yes,No,No,Unknown,Head-On,Weekday,December,No,No,Older Driver,54,54011,1,2,2,2,2,1,2,2,2,2,2,1,3,3,1,12,10,2,2,WEST VIRGINIA,Cabell County,West Virginia,dnv6nxze
43,29281,540309,1,11:00am-11:59am,42,38.47878889,-80.99971111,2011,54,15,2,38.47878889,-80.99971111,11:42 AM,No,No,No,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekday,December,No,No,No,54,54015,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,12,11,1,2,WEST VIRGINIA,Clay County,West Virginia,dny6uucg
44,29282,540078,1,8:00pm-8:59pm,30,38.122875,-81.07257778,2011,54,19,1,38.122875,-81.07257778,8:30 PM,No,No,No,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekend,April,No,No,Young Driver,54,54019,1,1,2,2,2,1,2,2,2,2,1,2,2,1,2,4,20,1,2,WEST VIRGINIA,Fayette County,West Virginia,dny2ghhc
45,29283,540117,2,10:00pm-10:59pm,11,37.93935833,-81.15317222,2011,54,19,1,37.93935833,-81.15317222,10:11 PM,No,No,No,Yes,No,No,Unknown,Head-On,Weekday,June,No,No,No,54,54019,1,2,2,2,2,1,2,2,2,2,2,2,3,3,1,6,22,2,2,WEST VIRGINIA,Fayette County,West Virginia,dnwrc6dh
46,29284,540184,2,4:00pm-4:59pm,37,37.95985556,-81.14858056,2011,54,19,1,37.95985556,-81.14858056,4:37 PM,No,No,No,No,Yes,No,Unknown,Angle,Weekend,July,No,Pedestrian,No,54,54019,1,2,2,2,2,2,1,2,1,2,2,2,3,4,2,7,16,2,2,WEST VIRGINIA,Fayette County,West Virginia,dnwrcqmk
47,29285,540199,1,0:00am-0:59am,42,38.12402222,-80.98558333,2011,54,19,2,38.12402222,-80.98558333,12:42 AM,No,No,Yes,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekday,August,No,No,Young Driver,54,54019,1,1,2,2,1,1,2,2,2,2,1,2,2,1,1,8,0,1,2,WEST VIRGINIA,Fayette County,West Virginia,dny2vhk0
48,29286,540219,2,5:00pm-5:59pm,49,37.95620556,-81.15490556,2011,54,19,1,37.95620556,-81.15490556,5:49 PM,No,No,No,No,Yes,No,Unknown,Rear-End,Weekday,September,No,No,Young Driver,54,54019,1,2,2,2,2,2,1,2,2,2,1,2,3,2,1,9,17,2,2,WEST VIRGINIA,Fayette County,West Virginia,dnwrcm8y
49,29287,540281,3,11:00am-11:59am,17,38.05740278,-81.10505833,2011,54,19,1,38.05740278,-81.10505833,11:17 AM,No,No,No,No,Yes,No,Unknown,Angle,Weekday,November,No,No,Older Driver,54,54019,1,3,2,2,2,2,1,2,2,2,2,1,3,4,1,11,11,3,2,WEST VIRGINIA,Fayette County,West Virginia,dny2d2jh
50,29288,540282,1,2:00pm-2:59pm,51,38.96084444,-79.28994722,2011,54,23,1,38.96084444,-79.28994722,2:51 PM,No,No,No,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekend,November,No,No,No,54,54023,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,11,14,1,2,WEST VIRGINIA,Grant County,West Virginia,dnzteswg
51,29289,540290,2,9:00pm-9:59pm,3,38.99950556,-79.08961944,2011,54,23,1,38.99950556,-79.08961944,9:03 PM,No,No,No,No,No,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekday,October,No,Pedestrian,No,54,54023,1,2,2,2,2,2,2,2,1,2,2,2,3,1,1,10,21,2,2,WEST VIRGINIA,Grant County,West Virginia,dnzvb78s
52,29290,540019,1,8:00pm-8:59pm,11,37.95309722,-80.66235,2011,54,25,1,37.95309722,-80.66235,8:11 PM,No,Yes,No,No,Yes,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekday,February,No,No,No,54,54025,1,1,2,1,2,2,1,2,2,2,2,2,3,1,1,2,20,1,2,WEST VIRGINIA,Greenbrier County,West Virginia,dnwxumpk
53,29291,540023,2,3:00pm-3:59pm,19,37.79754444,-80.28611111,2011,54,25,1,37.79754444,-80.28611111,3:19 PM,Yes,Yes,No,Yes,No,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekday,February,Yes,No,Older Driver,54,54025,1,2,1,1,2,1,2,2,2,2,2,1,3,1,1,2,15,2,1,WEST VIRGINIA,Greenbrier County,West Virginia,dnwzj0c6
54,29292,540046,1,6:00am-6:59am,0,37.79608611,-80.28752778,2011,54,25,1,37.79608611,-80.28752778,6:00 AM,No,No,Yes,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekday,March,Yes,No,No,54,54025,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,3,6,1,1,WEST VIRGINIA,Greenbrier County,West Virginia,dnwzj086
55,29293,540106,2,7:00pm-7:59pm,18,37.78068611,-80.38837778,2011,54,25,1,37.78068611,-80.38837778,7:18 PM,No,No,No,Yes,No,No,Unknown,Angle,Weekend,May,No,No,Young Driver,54,54025,1,2,2,2,2,1,2,2,2,2,1,2,3,4,2,5,19,2,2,WEST VIRGINIA,Greenbrier County,West Virginia,dnwyftyb
56,29294,540160,2,6:00pm-6:59pm,38,37.97435556,-80.38569722,2011,54,25,1,37.97435556,-80.38569722,6:38 PM,No,No,No,No,No,No,Yes,Angle,Weekend,July,No,No,Older Driver,54,54025,1,2,2,2,2,2,2,2,2,2,2,1,1,4,2,7,18,2,2,WEST VIRGINIA,Greenbrier County,West Virginia,dnyb4c0b
57,29295,540201,1,2:00pm-2:59pm,45,37.73061944,-80.42021667,2011,54,25,1,37.73061944,-80.42021667,2:45 PM,No,No,Yes,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekend,August,No,No,Young Driver,54,54025,1,1,2,2,1,1,2,2,2,2,1,2,2,1,2,8,14,1,2,WEST VIRGINIA,Greenbrier County,West Virginia,dnwy9uxu
58,29296,540228,1,8:00pm-8:59pm,56,37.87400278,-80.39101944,2011,54,25,1,37.87400278,-80.39101944,8:56 PM,No,Yes,No,Yes,No,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekday,September,No,No,No,54,54025,1,1,2,1,2,1,2,2,2,2,2,2,3,1,1,9,20,1,2,WEST VIRGINIA,Greenbrier County,West Virginia,dnwz6wv0
59,29297,540232,1,9:00pm-9:59pm,43,38.045075,-80.72229444,2011,54,25,1,38.045075,-80.72229444,9:43 PM,No,No,Yes,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekend,September,No,No,No,54,54025,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,9,21,1,2,WEST VIRGINIA,Greenbrier County,West Virginia,dny87jgu
60,29298,540247,1,0:00am-0:59am,55,37.97376944,-80.11608056,2011,54,25,1,37.97376944,-80.11608056,12:55 AM,No,No,No,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekend,October,No,No,Young Driver,54,54025,1,1,2,2,2,1,2,2,2,2,1,2,2,1,2,10,0,1,2,WEST VIRGINIA,Greenbrier County,West Virginia,dnz00bvm
61,29299,540293,1,9:00pm-9:59pm,0,37.97453611,-80.38568333,2011,54,25,1,37.97453611,-80.38568333,9:00 PM,No,No,Yes,Yes,No,No,Unknown,Not Collision with Motor Vehicle in Transport,Weekend,November,No,No,No,54,54025,1,1,2,2,1,1,2,2,2,2,2,2,3,1,2,11,21,1,2,WEST VIRGINIA,Greenbrier County,West Virginia,dnyb4c0c
62,29300,540053,2,7:00am-7:59am,0,39.26361111,-78.53416944,2011,54,27,1,39.26361111,-78.53416944,7:00 AM,No,Yes,No,Yes,No,No,Unknown,Head-On,Weekday,March,No,No,Older Driver,54,54027,1,2,2,1,2,1,2,2,2,2,2,1,3,3,1,3,7,2,2,WEST VIRGINIA,Hampshire County,West Virginia,dqbpkgtp
63,29301,540100,1,2:00pm-2:59pm,30,39.29020278,-78.88874444,2011,54,27,1,39.29020278,-78.88874444,2:30 PM,No,No,No,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekday,May,No,No,Young Driver,54,54027,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,5,14,1,2,WEST VIRGINIA,Hampshire County,West Virginia,dnzzsbdf
64,29302,540104,1,2:00pm-2:59pm,55,39.32271111,-78.58001111,2011,54,27,1,39.32271111,-78.58001111,2:55 PM,No,Yes,No,Yes,No,No,No,Not Collision with Motor Vehicle in Transport,Weekend,May,No,No,No,54,54027,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,5,14,1,2,WEST VIRGINIA,Hampshire County,West Virginia,dqbpey7z
65,29303,540243,1,2:00am-2:59am,3,40.61328611,-80.55534444,2011,54,29,1,40.61328611,-80.55534444,2:03 AM,No,Yes,No,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekday,October,No,No,Young Driver,54,54029,1,1,2,1,2,1,2,2,2,2,1,2,1,1,1,10,2,1,2,WEST VIRGINIA,Hancock County,West Virginia,dpnxncmm
66,29304,540271,2,1:00pm-1:59pm,39,40.41966111,-80.58205,2011,54,29,1,40.41966111,-80.58205,1:39 PM,No,Yes,No,Yes,No,No,Unknown,Sideswipe,Weekday,October,No,No,No,54,54029,1,2,2,1,2,1,2,2,2,2,2,2,3,5,1,10,13,2,2,WEST VIRGINIA,Hancock County,West Virginia,dpntyq1v
67,29305,540312,4,5:00am-5:59am,32,40.39894167,-80.57943333,2011,54,29,1,40.39894167,-80.57943333,5:32 AM,Yes,No,Yes,No,No,No,Unknown,Rear-End,Weekday,December,No,No,No,54,54029,1,3,1,2,1,2,2,2,2,2,2,2,3,2,1,12,5,4,2,WEST VIRGINIA,Hancock County,West Virginia,dpnty67u
68,29306,540013,2,6:00am-6:59am,59,39.42083611,-80.27734722,2011,54,33,1,39.42083611,-80.27734722,6:59 AM,No,No,No,No,Yes,No,Unknown,Angle,Weekday,January,No,No,Older Driver,54,54033,1,2,2,2,2,2,1,2,2,2,2,1,3,4,1,1,6,2,2,WEST VIRGINIA,Harrison County,West Virginia,dpnbm0rg
69,29307,540014,2,2:00pm-2:59pm,50,39.17691667,-80.25946111,2011,54,33,2,39.17691667,-80.25946111,2:50 PM,No,No,No,Yes,No,No,Unknown,Head-On,Weekday,January,No,No,No,54,54033,1,2,2,2,2,1,2,2,2,2,2,2,3,3,1,1,14,2,2,WEST VIRGINIA,Harrison County,West Virginia,dnyyveuy
70,29308,540016,1,11:00pm-11:59pm,5,39.24204167,-80.29187222,2011,54,33,1,39.24204167,-80.29187222,11:05 PM,No,Yes,No,Yes,No,No,Yes,Not Collision with Motor Vehicle in Transport,Weekday,January,Yes,No,No,54,54033,1,1,2,1,2,1,2,2,2,2,2,2,1,1,1,1,23,1,1,WEST VIRGINIA,Harrison County,West Virginia,dnyzhzv1
